"","title","geo_accession","status","submission_date","last_update_date","type","channel_count","source_name_ch1","organism_ch1","characteristics_ch1","characteristics_ch1.1","molecule_ch1","extract_protocol_ch1","extract_protocol_ch1.1","taxid_ch1","data_processing","data_processing.1","data_processing.2","platform_id","contact_name","contact_email","contact_department","contact_institute","contact_address","contact_city","contact_state","contact_zip/postal_code","contact_country","data_row_count","instrument_model","library_selection","library_source","library_strategy","relation","relation.1","supplementary_file_1","disease state:ch1","tissue:ch1"
"IPF_5466","IPF_5466","GSM7296247","Public on Jul 26 2023","May 04 2023","Jul 26 2023","SRA","1","lung","Homo sapiens","tissue: lung","disease state: idiopathic pulmonary fibrosis","total RNA","Lung tiusue were grinded in liquid nitrogen and total RNA was extracted using the Qiagen RNeasy kit.","Libraries were prepared using the Illumina TruSeq Stranded Total RNA Library Prep Kit.","9606","Sequencing reads were filtered and aligned using HTSeqGenie against the human genome assembly GRCh38.","Assembly: GRCh38","Supplementary files format and content: TSV count matrices","GPL20301","Jason,Anthony,Vander Heiden","vandej27@gene.com","Biological Research AI Development","Genentech","1 DNA Way","South San Francisco","CA","94080","USA","0","Illumina HiSeq 4000","cDNA","transcriptomic","RNA-Seq","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN34586491","SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX20220680","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7296nnn/GSM7296247/suppl/GSM7296247_IPF_5466_count.tsv.gz","idiopathic pulmonary fibrosis","lung"
"IPF_5467","IPF_5467","GSM7296248","Public on Jul 26 2023","May 04 2023","Jul 26 2023","SRA","1","lung","Homo sapiens","tissue: lung","disease state: idiopathic pulmonary fibrosis","total RNA","Lung tiusue were grinded in liquid nitrogen and total RNA was extracted using the Qiagen RNeasy kit.","Libraries were prepared using the Illumina TruSeq Stranded Total RNA Library Prep Kit.","9606","Sequencing reads were filtered and aligned using HTSeqGenie against the human genome assembly GRCh38.","Assembly: GRCh38","Supplementary files format and content: TSV count matrices","GPL20301","Jason,Anthony,Vander Heiden","vandej27@gene.com","Biological Research AI Development","Genentech","1 DNA Way","South San Francisco","CA","94080","USA","0","Illumina HiSeq 4000","cDNA","transcriptomic","RNA-Seq","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN34586490","SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX20220681","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7296nnn/GSM7296248/suppl/GSM7296248_IPF_5467_count.tsv.gz","idiopathic pulmonary fibrosis","lung"
"IPF_5468","IPF_5468","GSM7296249","Public on Jul 26 2023","May 04 2023","Jul 26 2023","SRA","1","lung","Homo sapiens","tissue: lung","disease state: idiopathic pulmonary fibrosis","total RNA","Lung tiusue were grinded in liquid nitrogen and total RNA was extracted using the Qiagen RNeasy kit.","Libraries were prepared using the Illumina TruSeq Stranded Total RNA Library Prep Kit.","9606","Sequencing reads were filtered and aligned using HTSeqGenie against the human genome assembly GRCh38.","Assembly: GRCh38","Supplementary files format and content: TSV count matrices","GPL20301","Jason,Anthony,Vander Heiden","vandej27@gene.com","Biological Research AI Development","Genentech","1 DNA Way","South San Francisco","CA","94080","USA","0","Illumina HiSeq 4000","cDNA","transcriptomic","RNA-Seq","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN34586489","SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX20220682","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7296nnn/GSM7296249/suppl/GSM7296249_IPF_5468_count.tsv.gz","idiopathic pulmonary fibrosis","lung"
"IPF_5469","IPF_5469","GSM7296250","Public on Jul 26 2023","May 04 2023","Jul 26 2023","SRA","1","lung","Homo sapiens","tissue: lung","disease state: idiopathic pulmonary fibrosis","total RNA","Lung tiusue were grinded in liquid nitrogen and total RNA was extracted using the Qiagen RNeasy kit.","Libraries were prepared using the Illumina TruSeq Stranded Total RNA Library Prep Kit.","9606","Sequencing reads were filtered and aligned using HTSeqGenie against the human genome assembly GRCh38.","Assembly: GRCh38","Supplementary files format and content: TSV count matrices","GPL20301","Jason,Anthony,Vander Heiden","vandej27@gene.com","Biological Research AI Development","Genentech","1 DNA Way","South San Francisco","CA","94080","USA","0","Illumina HiSeq 4000","cDNA","transcriptomic","RNA-Seq","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN34586488","SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX20220683","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7296nnn/GSM7296250/suppl/GSM7296250_IPF_5469_count.tsv.gz","idiopathic pulmonary fibrosis","lung"
"IPF_5470","IPF_5470","GSM7296251","Public on Jul 26 2023","May 04 2023","Jul 26 2023","SRA","1","lung","Homo sapiens","tissue: lung","disease state: idiopathic pulmonary fibrosis","total RNA","Lung tiusue were grinded in liquid nitrogen and total RNA was extracted using the Qiagen RNeasy kit.","Libraries were prepared using the Illumina TruSeq Stranded Total RNA Library Prep Kit.","9606","Sequencing reads were filtered and aligned using HTSeqGenie against the human genome assembly GRCh38.","Assembly: GRCh38","Supplementary files format and content: TSV count matrices","GPL20301","Jason,Anthony,Vander Heiden","vandej27@gene.com","Biological Research AI Development","Genentech","1 DNA Way","South San Francisco","CA","94080","USA","0","Illumina HiSeq 4000","cDNA","transcriptomic","RNA-Seq","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN34586487","SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX20220684","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7296nnn/GSM7296251/suppl/GSM7296251_IPF_5470_count.tsv.gz","idiopathic pulmonary fibrosis","lung"
"IPF_5471","IPF_5471","GSM7296252","Public on Jul 26 2023","May 04 2023","Jul 26 2023","SRA","1","lung","Homo sapiens","tissue: lung","disease state: idiopathic pulmonary fibrosis","total RNA","Lung tiusue were grinded in liquid nitrogen and total RNA was extracted using the Qiagen RNeasy kit.","Libraries were prepared using the Illumina TruSeq Stranded Total RNA Library Prep Kit.","9606","Sequencing reads were filtered and aligned using HTSeqGenie against the human genome assembly GRCh38.","Assembly: GRCh38","Supplementary files format and content: TSV count matrices","GPL20301","Jason,Anthony,Vander Heiden","vandej27@gene.com","Biological Research AI Development","Genentech","1 DNA Way","South San Francisco","CA","94080","USA","0","Illumina HiSeq 4000","cDNA","transcriptomic","RNA-Seq","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN34586486","SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX20220685","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7296nnn/GSM7296252/suppl/GSM7296252_IPF_5471_count.tsv.gz","idiopathic pulmonary fibrosis","lung"
"IPF_5472","IPF_5472","GSM7296253","Public on Jul 26 2023","May 04 2023","Jul 26 2023","SRA","1","lung","Homo sapiens","tissue: lung","disease state: idiopathic pulmonary fibrosis","total RNA","Lung tiusue were grinded in liquid nitrogen and total RNA was extracted using the Qiagen RNeasy kit.","Libraries were prepared using the Illumina TruSeq Stranded Total RNA Library Prep Kit.","9606","Sequencing reads were filtered and aligned using HTSeqGenie against the human genome assembly GRCh38.","Assembly: GRCh38","Supplementary files format and content: TSV count matrices","GPL20301","Jason,Anthony,Vander Heiden","vandej27@gene.com","Biological Research AI Development","Genentech","1 DNA Way","South San Francisco","CA","94080","USA","0","Illumina HiSeq 4000","cDNA","transcriptomic","RNA-Seq","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN34586485","SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX20220686","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7296nnn/GSM7296253/suppl/GSM7296253_IPF_5472_count.tsv.gz","idiopathic pulmonary fibrosis","lung"
"IPF_5473","IPF_5473","GSM7296254","Public on Jul 26 2023","May 04 2023","Jul 26 2023","SRA","1","lung","Homo sapiens","tissue: lung","disease state: idiopathic pulmonary fibrosis","total RNA","Lung tiusue were grinded in liquid nitrogen and total RNA was extracted using the Qiagen RNeasy kit.","Libraries were prepared using the Illumina TruSeq Stranded Total RNA Library Prep Kit.","9606","Sequencing reads were filtered and aligned using HTSeqGenie against the human genome assembly GRCh38.","Assembly: GRCh38","Supplementary files format and content: TSV count matrices","GPL20301","Jason,Anthony,Vander Heiden","vandej27@gene.com","Biological Research AI Development","Genentech","1 DNA Way","South San Francisco","CA","94080","USA","0","Illumina HiSeq 4000","cDNA","transcriptomic","RNA-Seq","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN34586484","SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX20220687","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7296nnn/GSM7296254/suppl/GSM7296254_IPF_5473_count.tsv.gz","idiopathic pulmonary fibrosis","lung"
"IPF_5474","IPF_5474","GSM7296255","Public on Jul 26 2023","May 04 2023","Jul 26 2023","SRA","1","lung","Homo sapiens","tissue: lung","disease state: idiopathic pulmonary fibrosis","total RNA","Lung tiusue were grinded in liquid nitrogen and total RNA was extracted using the Qiagen RNeasy kit.","Libraries were prepared using the Illumina TruSeq Stranded Total RNA Library Prep Kit.","9606","Sequencing reads were filtered and aligned using HTSeqGenie against the human genome assembly GRCh38.","Assembly: GRCh38","Supplementary files format and content: TSV count matrices","GPL20301","Jason,Anthony,Vander Heiden","vandej27@gene.com","Biological Research AI Development","Genentech","1 DNA Way","South San Francisco","CA","94080","USA","0","Illumina HiSeq 4000","cDNA","transcriptomic","RNA-Seq","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN34586483","SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX20220688","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7296nnn/GSM7296255/suppl/GSM7296255_IPF_5474_count.tsv.gz","idiopathic pulmonary fibrosis","lung"
"IPF_5475","IPF_5475","GSM7296256","Public on Jul 26 2023","May 04 2023","Jul 26 2023","SRA","1","lung","Homo sapiens","tissue: lung","disease state: idiopathic pulmonary fibrosis","total RNA","Lung tiusue were grinded in liquid nitrogen and total RNA was extracted using the Qiagen RNeasy kit.","Libraries were prepared using the Illumina TruSeq Stranded Total RNA Library Prep Kit.","9606","Sequencing reads were filtered and aligned using HTSeqGenie against the human genome assembly GRCh38.","Assembly: GRCh38","Supplementary files format and content: TSV count matrices","GPL20301","Jason,Anthony,Vander Heiden","vandej27@gene.com","Biological Research AI Development","Genentech","1 DNA Way","South San Francisco","CA","94080","USA","0","Illumina HiSeq 4000","cDNA","transcriptomic","RNA-Seq","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN34586482","SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX20220689","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7296nnn/GSM7296256/suppl/GSM7296256_IPF_5475_count.tsv.gz","idiopathic pulmonary fibrosis","lung"
